Service,Message
"ai-ops-orchestrator","Migration status for FMC c8dca160-91b5-4bd9-b0c8-dd0faa76af50 is PARTIAL_SUCCESS"
"ai-ops-orchestrator",Polling for migration completed successfully
"ai-ops-orchestrator","Potential replay message as it could not be matched to a list of pending messages. Discarding (ID: d6caeb40-0ec4-449b-9ed6-37437f5be099)"
"ai-ops-orchestrator",Sending notification of type ONBOARDED to all websocket subscribers
"ai-ops-orchestrator",Sending notification for the resource: null of type TENANT
"ai-ops-orchestrator","Polling for App onboard completed successfully"
"ai-ops-orchestrator","All apps have reached terminal state for onboard"
"ai-ops-orchestrator","App softwareUpgradePlanner is onboarded successfully"
"ai-ops-orchestrator","Polling app onboard status for app softwareUpgradePlanner"
"ai-ops-orchestrator","Extracted app onboard URLs: {ai-ops-analytics=/api/platform/ai-ops-analytics/v1/onboard, ai-ops-bestpractices=/api/platform/ai-ops-bpr/v1/onboard, feature-adoption=/api/platform/feature-adoption/v1/onboard, softwareUpgradePlanner=/api/platform/upgrade-planner/v1/onboard, ai-ops-forecast=/api/platform/ai-ops-forecast/v1/onboard, ai-ops-anomaly-detection=/api/platform/ai-ops-anomaly-detection/v1/onboard, ai-ops-correlation=/api/platform/ai-ops-correlation/v1/onboard, aiops-pao=/aegis/rest/v1/fmc/aiops-pao/onboard}"
"ai-ops-orchestrator","App ai-ops-correlation is onboarded successfully"
"ai-ops-correlation","10.200.100.58:12362 - ""GET /api/platform/ai-ops-correlation/v1/onboard HTTP/1.1"" 200"
"ai-ops-correlation","Received request to get onboard status"
"ai-ops-correlation","You appear to be connected to a DocumentDB cluster. For more information regarding feature compatibility and support please visit https://www.mongodb.com/supportability/documentdb"
"ai-ops-correlation","Connecting to MongoDB at staging-ai-ops-correlation-docdb.cluster-cgiaglf2e8cq.us-west-2.docdb.amazonaws.com:27017"
"ai-ops-correlation","HTTP Request: GET https://edge.staging.cdo.cisco.com/anubis/rest/v1/oauth/check_token ""HTTP/1.1 200 """
"ai-ops-orchestrator","Polling app onboard status for app ai-ops-correlation"
"ai-ops-orchestrator","App ai-ops-anomaly-detection is onboarded successfully"
"ai-ops-anomaly-detection","10.200.100.106:49994 - ""GET /api/platform/ai-ops-anomaly-detection/v1/onboard HTTP/1.1"" 200"
"ai-ops-anomaly-detection","Received request to get onboard status"
"ai-ops-anomaly-detection","You appear to be connected to a DocumentDB cluster. For more information regarding feature compatibility and support please visit https://www.mongodb.com/supportability/documentdb"
"ai-ops-anomaly-detection","Connecting to MongoDB at staging-ai-ops-anomaly-detection-docdb.cluster-cgiaglf2e8cq.us-west-2.docdb.amazonaws.com:27017"
"ai-ops-anomaly-detection","HTTP Request: GET https://edge.staging.cdo.cisco.com/anubis/rest/v1/oauth/check_token ""HTTP/1.1 200 """
"ai-ops-orchestrator","Polling app onboard status for app ai-ops-anomaly-detection"
"ai-ops-orchestrator","App ai-ops-forecast is onboarded successfully"
"ai-ops-forecast","10.200.100.106:45788 - ""GET /api/platform/ai-ops-forecast/v1/onboard HTTP/1.1"" 200"
"ai-ops-forecast","Received request to get onboard status"
"ai-ops-forecast","You appear to be connected to a DocumentDB cluster. For more information regarding feature compatibility and support please visit https://www.mongodb.com/supportability/documentdb"
"ai-ops-forecast","Connecting to MongoDB at staging-ai-ops-forecast-docdb.cluster-cgiaglf2e8cq.us-west-2.docdb.amazonaws.com:27017"
"ai-ops-forecast","HTTP Request: GET https://edge.staging.cdo.cisco.com/anubis/rest/v1/oauth/check_token ""HTTP/1.1 200 """
"ai-ops-orchestrator","Polling app onboard status for app ai-ops-forecast"
"ai-ops-orchestrator","App softwareUpgradePlanner is still onboarding"
"feature-adoption","[FeatureAdoptionUpdateService] Triggered Feature Adoption Update SM"
"ai-ops-orchestrator","Polling app onboard status for app softwareUpgradePlanner"
"ai-ops-orchestrator","App feature-adoption is onboarded successfully"
"ai-ops-orchestrator","Polling app onboard status for app feature-adoption"
"ai-ops-orchestrator","App ai-ops-analytics is onboarded successfully"
"feature-adoption","[FMCFeatureAdoptionUpdateSM][TriggerFmceOobJobAction] Executing action"
"feature-adoption","[FmceCommand][execute] Executing FMCE Command"
"feature-adoption","[FeatureAdoptionCalculatorService][triggerFeatureAdoptionCalculation] Triggered feature adoption calculation at 1753637591285"
"ai-ops-orchestrator","Polling app onboard status for app ai-ops-analytics"
"ai-ops-orchestrator","Extracted app onboard URLs: {ai-ops-analytics=/api/platform/ai-ops-analytics/v1/onboard, ai-ops-bestpractices=/api/platform/ai-ops-bpr/v1/onboard, feature-adoption=/api/platform/feature-adoption/v1/onboard, softwareUpgradePlanner=/api/platform/upgrade-planner/v1/onboard, ai-ops-forecast=/api/platform/ai-ops-forecast/v1/onboard, ai-ops-anomaly-detection=/api/platform/ai-ops-anomaly-detection/v1/onboard, ai-ops-correlation=/api/platform/ai-ops-correlation/v1/onboard, aiops-pao=/aegis/rest/v1/fmc/aiops-pao/onboard}"
"ai-ops-orchestrator","Start poll action to check app onboard status"
"feature-adoption","[OnboardFeatureAdoptionSM][TriggerPostOnboardingCalculationAfterHook] Executing afterhook"
"feature-adoption","[OnboardFeatureAdoptionSM][FeatureAdoptionOnboardStateMachineHook] Executing afterhook"
"feature-adoption","Pushed subscriber configurations to orchestrator"
"ai-ops-orchestrator","Added 1 new subscriber(s): [SubscriberConfig(subscriber=feature-adoption, moduleName=null, appName=null, triggerType=SCHEDULE_TICKS, config={periodicity=INTERVAL_24_HOURS}, pipeline=Pipeline(outputPlugins=[PluginConfig(plugin=WEBHOOK, config={destination=/api/platform/feature-adoption/v1/api/triggerFeatureAdoptionCalculation})], processorPlugins=null))]"
"feature-adoption","[OnboardFeatureAdoptionSM][PushSubscriberConfigAction] Executing action"
"ai-ops-orchestrator","App softwareUpgradePlanner has accepted the onboarding request"
"ai-ops-orchestrator","Sending onboard API call to softwareUpgradePlanner"
